cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pweight,polintr,polcmpl,poldcs,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,vote,contplt,wrkprty,wrkorg,badge,sgnptit,pbldmn,bctprd,clsprty,prtdgcl,mmbprty,lrscale,stflife,stfeco,stfgov,stfdem,stfedu,stfhlth,gincdif,freehms,prtyban,scnsenv,euftf,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun,
ES,ESS1-5e011,1.1,01.02.2013,80804,ESS5e03_0,5,3.0,776,0.960560001298795,2.07516111405836,1,,,5,0,9,6,5,5,0,3,1,2,2,1,2,2,2,2,6,2,5,6,5,4,5,0,0,1,3,1,2,,8,3,3,10,10,8,2,5,1,5,1,2,2,2,2,4,1,2,4,2,5,1,5,1,1,1,2,
ES,ESS1-5e011,1.1,01.02.2013,80805,ESS5e03_0,5,3.0,777,0.821977659860166,2.07516111405836,4,,,0,0,3,0,0,0,0,2,2,2,2,2,1,2,2,2,6,2,5,10,0,0,5,4,7,2,3,3,4,,4,4,4,0,5,5,3,5,2,4,5,5,4,3,3,2,2,2,3,5,5,3,4,1,3,3,3,
ES,ESS1-5e011,1.1,01.02.2013,80806,ESS5e03_0,5,3.0,778,0.989131708760289,2.07516111405836,4,,,1,3,4,2,2,2,1,2,2,2,2,2,2,2,2,2,6,2,5,5,6,2,2,4,5,3,3,2,2,,4,4,4,0,1,0,1,2,5,2,2,1,5,3,4,1,1,1,2,3,1,3,2,1,2,5,1,
ES,ESS1-5e011,1.1,01.02.2013,80807,ESS5e03_0,5,3.0,779,0.83669115809309,2.07516111405836,2,,,6,4,9,2,2,6,6,1,1,2,1,2,1,1,2,1,3,2,2,9,1,2,2,5,9,2,1,3,3,,2,2,2,8,8,6,2,5,1,4,1,2,4,1,2,5,3,1,5,3,5,2,4,1,3,2,4,
ES,ESS1-5e011,1.1,01.02.2013,80808,ESS5e03_0,5,3.0,780,1.27306874333985,2.07516111405836,3,,,0,6,6,4,4,7,7,1,2,2,2,2,1,2,2,1,2,2,8,8,1,0,6,7,10,2,4,2,2,,4,4,4,1,4,3,4,4,3,2,2,2,1,2,2,4,3,1,1,2,5,1,1,1,2,2,1,
ES,ESS1-5e011,1.1,01.02.2013,80809,ESS5e03_0,5,3.0,781,0.999069826546173,2.07516111405836,3,,,2,2,4,2,2,1,3,1,2,2,2,2,2,2,2,2,6,2,6,8,3,0,4,2,2,2,2,2,2,,3,3,3,4,3,3,2,5,2,2,2,2,3,3,2,4,2,2,3,2,5,2,2,2,2,2,4,
ES,ESS1-5e011,1.1,01.02.2013,80810,ESS5e03_0,5,3.0,783,0.899335726385459,2.07516111405836,2,,,6,8,8,5,5,7,8,3,2,2,2,2,2,2,2,1,3,2,5,8,5,5,7,8,8,2,2,2,2,,3,3,3,7,8,8,2,4,2,4,2,3,1,2,3,3,2,3,3,4,3,3,4,2,2,2,3,
ES,ESS1-5e011,1.1,01.02.2013,80811,ESS5e03_0,5,3.0,785,0.857326834682396,2.07516111405836,3,,,0,4,7,0,0,0,6,1,2,2,1,2,2,1,2,2,6,2,88,5,0,0,4,0,7,1,1,2,1,,1,1,1,8,8,7,1,3,1,3,3,1,5,2,6,1,1,1,1,1,1,1,5,1,2,6,1,
ES,ESS1-5e011,1.1,01.02.2013,80812,ESS5e03_0,5,3.0,786,0.904182399025033,2.07516111405836,2,,,8,8,8,6,6,6,6,1,2,2,2,2,1,2,2,1,2,2,4,7,5,6,8,5,7,2,1,1,2,,2,2,2,7,7,7,5,6,1,2,2,2,4,2,2,2,2,2,2,2,4,2,2,2,2,5,2,
ES,ESS1-5e011,1.1,01.02.2013,80813,ESS5e03_0,5,3.0,787,0.992385982478084,2.07516111405836,4,,,0,2,0,0,0,3,6,2,2,2,2,2,2,2,2,1,3,2,5,10,0,0,5,7,7,3,2,2,3,,3,4,4,1,3,0,1,3,3,2,2,1,3,2,3,3,2,1,2,2,3,2,3,2,1,2,2,
ES,ESS1-5e011,1.1,01.02.2013,80814,ESS5e03_0,5,3.0,788,1.00284915060861,2.07516111405836,3,,,6,0,2,0,0,5,5,1,2,2,2,2,2,2,2,2,6,2,5,5,3,3,5,6,7,2,1,2,3,,3,3,3,3,6,3,2,2,1,4,1,2,4,2,2,2,2,2,3,1,3,3,4,1,2,2,2,
ES,ESS1-5e011,1.1,01.02.2013,80815,ESS5e03_0,5,3.0,790,1.01564023612165,2.07516111405836,3,,,5,7,7,5,5,5,5,1,2,2,2,2,2,2,2,1,3,2,6,8,4,3,6,8,8,2,3,2,2,,3,3,3,4,8,2,4,5,3,3,2,5,4,3,2,6,3,3,5,3,5,4,5,3,4,2,4,
ES,ESS1-5e011,1.1,01.02.2013,80816,ESS5e03_0,5,3.0,791,1.00201307351951,2.07516111405836,2,,,4,3,5,2,1,1,3,1,2,1,1,2,1,2,1,2,6,2,2,8,3,1,3,6,4,2,2,4,4,,1,1,1,1,5,3,3,4,2,4,3,4,4,3,3,4,3,3,3,4,4,4,3,3,3,3,4,
ES,ESS1-5e011,1.1,01.02.2013,80817,ESS5e03_0,5,3.0,792,0.847898630756003,2.07516111405836,3,,,4,4,5,3,3,4,6,1,2,1,1,2,2,2,2,1,2,1,8,3,2,3,4,7,7,3,2,2,2,,2,2,2,3,7,5,5,3,2,2,3,3,5,2,2,2,2,2,2,4,3,2,4,2,3,3,3,
ES,ESS1-5e011,1.1,01.02.2013,80818,ESS5e03_0,5,3.0,796,1.04566101384853,2.07516111405836,1,,,0,4,9,0,0,5,6,1,2,2,2,2,2,2,2,1,1,2,7,9,4,0,7,6,8,4,1,1,4,,2,2,2,8,8,8,1,3,1,3,1,1,3,1,2,3,1,3,3,1,1,3,3,1,1,3,3,
ES,ESS1-5e011,1.1,01.02.2013,80819,ESS5e03_0,5,3.0,798,0.899340480233261,2.07516111405836,3,,,7,5,6,1,1,6,5,1,2,2,2,2,2,2,2,1,3,2,4,4,3,4,4,6,6,1,3,2,3,,2,2,2,6,6,5,4,5,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,2,2,5,
ES,ESS1-5e011,1.1,01.02.2013,80820,ESS5e03_0,5,3.0,799,0.968983210488279,2.07516111405836,2,,,6,4,4,3,3,4,5,1,1,2,2,2,2,2,2,2,6,2,5,8,2,3,5,4,6,2,2,2,2,,1,1,1,5,8,7,2,5,2,5,2,3,5,4,4,5,3,2,5,4,5,4,6,2,3,4,2,
