cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,polintr,polcmpl,poldcs,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,vote,contplt,wrkprty,wrkorg,badge,sgnptit,pbldmn,bctprd,clsprty,prtdgcl,mmbprty,lrscale,stflife,stfeco,stfgov,stfdem,stfedu,stfhlth,gincdif,freehms,prtyban,scnsenv,euftf,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun,
ES,ESS1-6e01,1.0,26.11.2014,94283,ESS4e04_3,4,4.3,1296,1.4777,1.59325983596769,1.50092092391304,4,5,1,88,88,6,88,88,88,88,1,2,2,2,2,2,2,2,2,6,2,5,6,3,4,6,5,7,2,2,2,8,88,2,2,2,88,5,4,2,4,2,3,1,4,2,1,1,3,2,1,3,2,4,1,3,1,3,2,3,
ES,ESS1-6e01,1.0,26.11.2014,94284,ESS4e04_3,4,4.3,1298,0.9545,0.877481365272542,1.50092092391304,3,5,3,6,4,1,1,1,5,7,3,2,2,1,1,2,1,2,1,2,2,7,6,4,2,6,3,7,2,3,1,2,7,2,2,2,4,6,4,3,2,1,3,2,4,4,2,2,2,2,3,4,4,6,2,5,2,1,4,2,
ES,ESS1-6e01,1.0,26.11.2014,94285,ESS4e04_3,4,4.3,1299,0.4298,0.57533448947221,1.50092092391304,3,5,3,6,5,6,5,5,6,5,2,1,2,2,2,2,2,2,2,6,2,3,7,2,4,8,8,8,2,1,1,1,6,2,2,2,7,8,5,3,6,2,5,2,4,4,3,2,5,3,3,5,3,5,2,5,1,3,3,3,
ES,ESS1-6e01,1.0,26.11.2014,94286,ESS4e04_3,4,4.3,1301,1.4777,1.56086826949659,1.50092092391304,2,3,3,8,5,5,7,5,5,7,1,2,2,2,2,2,2,2,1,2,2,2,6,5,10,5,5,7,1,2,1,2,10,2,2,2,6,6,6,3,2,2,2,2,3,5,2,2,1,2,1,4,2,5,1,1,1,1,1,2,
ES,ESS1-6e01,1.0,26.11.2014,94287,ESS4e04_3,4,4.3,1302,1.1866,1.54145114044518,1.50092092391304,3,3,3,7,8,6,3,2,7,7,1,2,2,2,2,2,2,2,2,6,2,88,10,5,5,7,8,6,2,1,1,2,8,1,1,1,5,6,7,2,5,1,3,2,2,3,1,5,2,1,2,3,3,5,2,2,1,2,3,3,
ES,ESS1-6e01,1.0,26.11.2014,94288,ESS4e04_3,4,4.3,1303,1.2198,1.19183381073302,1.50092092391304,4,3,1,0,0,8,0,2,8,7,1,2,2,1,2,2,2,2,1,2,2,3,7,4,5,2,3,6,1,2,1,2,2,3,4,3,3,4,2,3,3,2,3,2,2,1,2,2,1,3,3,2,2,4,2,3,2,1,3,2,
ES,ESS1-6e01,1.0,26.11.2014,94289,ESS4e04_3,4,4.3,1305,0.3666,0.284021547784936,1.50092092391304,3,3,3,5,7,7,3,3,5,3,1,2,2,2,2,2,2,2,2,6,2,5,8,3,4,7,6,8,2,3,2,2,5,2,2,2,7,8,8,3,5,1,4,2,4,1,1,1,5,3,1,5,1,5,1,4,1,2,1,4,
ES,ESS1-6e01,1.0,26.11.2014,94290,ESS4e04_3,4,4.3,1306,0.8058,0.514695715909156,1.50092092391304,4,5,2,0,0,8,0,0,3,3,1,2,2,2,2,2,2,2,2,6,2,6,8,0,0,5,2,2,4,1,1,3,2,3,3,3,4,6,3,1,3,1,1,1,2,2,1,1,4,1,2,4,1,3,1,4,1,1,4,4,
ES,ESS1-6e01,1.0,26.11.2014,94291,ESS4e04_3,4,4.3,1309,0.298,0.384444214779984,1.50092092391304,3,4,2,5,2,2,2,2,5,5,2,1,1,1,1,1,1,2,2,6,2,2,9,1,5,5,2,2,1,1,1,2,2,3,3,3,8,9,2,1,6,1,6,5,2,2,2,1,1,2,2,2,4,5,2,1,1,1,6,1,
ES,ESS1-6e01,1.0,26.11.2014,94292,ESS4e04_3,4,4.3,1311,1.3394,1.42728313418055,1.50092092391304,4,3,3,5,5,4,1,1,88,88,3,2,2,2,2,2,2,2,2,6,2,2,8,4,5,6,5,6,2,3,2,4,5,3,2,2,5,5,5,2,5,2,3,3,2,3,3,4,4,1,1,3,5,3,4,3,3,2,4,4,
